Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2010-11,21,LAC,82.0,22.5,12.1,3.8,0.642,0.508,10.7,0.504,0.3464,
2011-12,22,LAC,66.0,20.7,10.9,3.2,0.521,0.55,21.9,0.549,0.4057,
2012-13,23,LAC,80.0,18.0,8.3,3.7,0.66,0.541,23.4,0.557,0.4304,
2013-14,24,LAC,80.0,24.1,9.5,3.9,0.715,0.533,22.4,0.572,0.525,Yes
2014-15,25,LAC,67.0,21.9,7.6,5.3,0.728,0.506,23.9,0.583,0.5357,Yes
2015-16,26,LAC,35.0,21.4,8.4,4.9,0.727,0.504,22.8,0.551,0.4891,Yes
2016-17,27,LAC,61.0,21.6,8.1,4.9,0.76,0.513,22.1,0.544,0.4936,
2017-18,28,TOT,58.0,21.4,7.4,5.8,0.785,0.493,22.6,0.569,0.5352,
2017-18,28,LAC,33.0,22.6,7.9,5.4,0.785,0.497,19.6,0.544,0.4952,
2017-18,28,DET,25.0,19.8,6.6,6.2,0.784,0.489,20.4,0.553,0.4899,
2018-19,29,DET,75.0,24.5,7.5,5.4,0.753,0.532,18.5,0.531,0.497,
2019-20,30,DET,18.0,15.5,4.7,3.3,0.776,0.406,21.0,0.581,0.3023,
2020-21,31,DET,13.0,12.3,6.2,4.0,0.675,0.472,11.9,0.476,0.1602,
