Year,Name,HITP Index,Points,Rebounds,Assists,Wins,TS,Memorability,URL
2016,Stephen Curry,2.92211,30.1,5.4,6.7,73,,3,https://www.basketball-reference.com/players/c/curryst01.html
2009,LeBron James,2.7253600000000002,28.4,7.6,7.2,66,,3,https://www.basketball-reference.com/players/j/jamesle01.html
2013,LeBron James,2.68251,26.8,8.0,7.3,66,,3,https://www.basketball-reference.com/players/j/jamesle01.html
2017,Russell Westbrook,2.50121,31.6,10.7,10.4,47,,3,https://www.basketball-reference.com/players/w/westbru01.html
2007,Dirk Nowitzki,2.428,24.6,8.9,3.4,67,,3,https://www.basketball-reference.com/players/n/nowitdi01.html
2011,Derrick Rose,2.29886,25.0,4.1,7.7,62,,3,https://www.basketball-reference.com/players/r/rosede01.html
2018,James Harden,2.2682,30.4,5.4,8.8,65,,2,https://www.basketball-reference.com/players/h/hardeja01.html
2010,LeBron James,2.16772,29.7,7.3,8.6,61,,2,https://www.basketball-reference.com/players/j/jamesle01.html
2001,Allen Iverson,2.1299,31.1,3.8,4.6,56,,3,https://www.basketball-reference.com/players/i/iversal01.html
2019,Giannis Antetokounmpo,2.12433,27.7,12.5,5.9,60,,2,https://www.basketball-reference.com/players/a/antetgi01.html
2014,Kevin Durant,2.00455,32.0,7.4,5.5,59,,2,https://www.basketball-reference.com/players/d/duranke01.html
2015,Stephen Curry,1.9425000000000001,23.8,4.3,7.7,67,,2,https://www.basketball-reference.com/players/c/curryst01.html
2000,Shaquille O'Neal,1.89077,29.7,13.6,3.8,67,,1,https://www.basketball-reference.com/players/o/onealsh01.html
2003,Tim Duncan,1.8330899999999999,23.3,12.9,3.9,60,,2,https://www.basketball-reference.com/players/d/duncati01.html
2002,Tim Duncan,1.8305699999999998,25.5,12.7,3.7,58,,2,https://www.basketball-reference.com/players/d/duncati01.html
2004,Kevin Garnett,1.41226,24.2,13.9,5.0,58,,1,https://www.basketball-reference.com/players/g/garneke01.html
2012,LeBron James,1.38195,27.1,7.9,6.2,46,,2,https://www.basketball-reference.com/players/j/jamesle01.html
2008,Kobe Bryant,1.2154099999999999,28.3,6.3,5.4,57,,1,https://www.basketball-reference.com/players/b/bryanko01.html
2005,Steve Nash,1.0926,15.5,3.3,11.5,62,,1,https://www.basketball-reference.com/players/n/nashst01.html
2006,Steve Nash,0.917,18.8,4.2,10.5,54,,1,https://www.basketball-reference.com/players/n/nashst01.html
