Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2005-06,20,NOK,78.0,16.1,5.1,7.8,0.847,0.456,22.1,0.546,0.2075,
2006-07,21,NOK,64.0,17.3,4.4,8.9,0.818,0.466,22.0,0.537,0.1868,
2007-08,22,NOH,80.0,21.1,4.0,11.6,0.851,0.524,28.3,0.576,0.4351,Yes
2008-09,23,NOH,78.0,22.8,5.5,11.0,0.868,0.528,30.0,0.599,0.5751,Yes
2009-10,24,NOH,45.0,18.7,4.2,10.7,0.847,0.534,23.7,0.584,0.3831,Yes
2010-11,25,NOH,80.0,15.9,4.1,9.8,0.878,0.502,23.7,0.578,0.309,
2011-12,26,LAC,60.0,19.8,3.6,9.1,0.861,0.522,27.0,0.581,0.3491,
2012-13,27,LAC,70.0,16.9,3.7,9.7,0.885,0.526,26.4,0.594,0.3645,
2013-14,28,LAC,62.0,19.1,4.3,10.7,0.855,0.511,25.9,0.58,0.3865,
2014-15,29,LAC,82.0,19.1,4.6,10.2,0.9,0.545,26.0,0.596,0.4746,
2015-16,30,LAC,74.0,19.5,4.2,10.0,0.896,0.517,26.2,0.575,0.4002,
2016-17,31,LAC,61.0,18.1,5.0,9.2,0.892,0.555,26.2,0.614,0.4916,
2017-18,32,HOU,58.0,18.6,5.4,7.9,0.919,0.55,24.4,0.604,0.4788,
2018-19,33,HOU,58.0,15.6,4.6,8.2,0.862,0.508,19.7,0.56,0.2443,
2019-20,34,OKC,70.0,17.6,5.0,6.7,0.907,0.552,21.7,0.61,0.4033,
2020-21,35,PHO,15.0,13.8,4.7,9.0,0.974,0.472,16.6,0.528,0.221,
