Season,Age,Team,Games,Points,Rebounds,Assists,FT%,eFG%,PER,TS%,M_VALUE,Prime
2007-08,19,SEA,80.0,20.3,4.4,2.4,0.873,0.451,15.8,0.519,0.0373,
2008-09,20,OKC,74.0,25.3,6.5,2.8,0.863,0.51,20.8,0.577,0.2355,
2009-10,21,OKC,82.0,30.1,7.6,2.8,0.9,0.514,26.2,0.607,0.4378,
2010-11,22,OKC,78.0,27.7,6.8,2.7,0.88,0.509,23.6,0.589,0.3213,
2011-12,23,OKC,66.0,28.0,8.0,3.5,0.86,0.547,26.2,0.61,0.3939,
2012-13,24,OKC,81.0,28.1,7.9,4.6,0.905,0.559,28.3,0.647,0.5583,
2013-14,25,OKC,81.0,32.0,7.4,5.5,0.873,0.56,29.8,0.635,0.5454,
2014-15,26,OKC,27.0,25.4,6.6,4.1,0.854,0.578,27.6,0.633,0.3853,
2015-16,27,OKC,72.0,28.2,8.2,5.0,0.898,0.573,28.2,0.634,0.5641,Yes
2016-17,28,GSW,62.0,25.1,8.3,4.8,0.875,0.594,27.6,0.651,0.509,Yes
2017-18,29,GSW,68.0,26.4,6.8,5.4,0.889,0.586,26.0,0.64,0.5028,Yes
2018-19,30,GSW,78.0,26.0,6.4,5.9,0.885,0.571,24.2,0.631,0.4676,
2020-21,32,BRK,13.0,31.2,7.2,5.8,0.865,0.613,27.9,0.673,0.5701,
